municipality,rmse,mae,r2
COMPOSTELA,13.126829084107689,10.371733474731446,-0.9137454664968401
LAAK,8.668503495007881,6.484600067138672,-0.024304155438438668
MABINI,6.30568747803149,5.420742416381836,-0.8205904107419022
MACO,7.5796691578504385,6.796243286132812,-0.7753827114483669
MARAGUSAN,7.568416459971149,6.454410552978516,-0.3443071511748943
MAWAB,9.344045739497476,8.266092681884766,-0.033880293449626064
MONKAYO,12.308433498278632,10.96849250793457,-3.1838590218599165
MONTEVISTA,10.524990750988891,8.7578369140625,-1.0818536047435012
NABUNTURAN,11.779320256794275,10.335341644287107,-0.21234063531781522
NEW BATAAN,11.834633396264824,10.600317001342773,-3.575581431688555
PANTUKAN,6.503677909506479,5.13692626953125,-0.057181363424207765
